freq,unit,accident,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,RSTK_FIRE,BE	18 	17 	24 	6 	0 	0 	1 	0 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,BG	1 	0 	1 	0 	0 	1 	1 	0 	0 	0 	2 	1 	2 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,CH	: 	: 	: 	0 	1 	1 	1 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,CHUNNEL	: 	0 	1 	0 	1 	0 	2 	1 	0 	1 	0 	0 	3 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,CZ	0 	1 	1 	1 	0 	1 	1 	2 	0 	4 	2 	2 	0 	3 	1 	4 	2 	1 
A,NR,RSTK_FIRE,DE	98 	3 	6 	4 	2 	4 	2 	1 	5 	3 	6 	0 	9 	3 	2 	3 	3 	7 
A,NR,RSTK_FIRE,DK	1 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,EE	: 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,EL	2 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,ES	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	1 	0 	1 	0 	2 	3 
A,NR,RSTK_FIRE,EU27_2020	: 	: 	: 	: 	11 	14 	12 	20 	27 	29 	33 	21 	33 	20 	13 	17 	26 	20 
A,NR,RSTK_FIRE,FI	17 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	1 	1 	2 	2 
A,NR,RSTK_FIRE,FR	62 	37 	24 	16 	6 	2 	2 	8 	2 	8 	4 	0 	0 	0 	0 	4 	1 	2 
A,NR,RSTK_FIRE,HR	: 	: 	: 	: 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
A,NR,RSTK_FIRE,HU	1 	3 	0 	1 	0 	0 	0 	2 	9 	6 	9 	8 	7 	4 	1 	0 	0 	1 
A,NR,RSTK_FIRE,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,IT	5 	5 	2 	9 	0 	0 	1 	2 	0 	2 	1 	3 	3 	4 	0 	0 	2 	1 
A,NR,RSTK_FIRE,LT	0 	1 	5 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 
A,NR,RSTK_FIRE,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,RSTK_FIRE,MK	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,NR,RSTK_FIRE,NL	1 	0 	0 	0 	1 	1 	0 	1 	1 	2 	1 	3 	1 	0 	1 	0 	0 	0 
A,NR,RSTK_FIRE,NO	3 	1 	3 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
A,NR,RSTK_FIRE,PL	5 	7 	9 	0 	0 	0 	0 	1 	0 	0 	0 	0 	2 	1 	0 	0 	2 	1 
A,NR,RSTK_FIRE,PT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,RO	0 	0 	0 	0 	2 	1 	0 	0 	1 	0 	1 	0 	0 	3 	4 	4 	2 	1 
A,NR,RSTK_FIRE,SE	3 	4 	3 	1 	0 	2 	3 	2 	3 	2 	4 	1 	2 	2 	0 	0 	2 	0 
A,NR,RSTK_FIRE,SI	1 	0 	0 	0 	0 	1 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,RSTK_FIRE,SK	8 	22 	8 	14 	0 	0 	0 	0 	0 	1 	2 	1 	2 	0 	1 	1 	1 	0 
A,NR,RSTK_FIRE,TR	21 	12 	8 	7 	3 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 	: 
A,NR,RSTK_FIRE,UK	0 	3 	0 	6 	2 	2 	0 	9 	4 	0 	2 	0 	0 	0 	1 	: 	: 	: 
A,NR,RSTK_MOT,AT	55 	27 	35 	37 	29 	30 	43 	29 	29 	27 	41 	22 	18 	16 	7 	12 	12 	20 
A,NR,RSTK_MOT,BE	22 	30 	25 	34 	15 	32 	12 	14 	22 	6 	7 	17 	12 	9 	14 	7 	9 	12 
A,NR,RSTK_MOT,BG	65 	42 	52 	40 	20 	65 	26 	17 	37 	33 	24 	29 	33 	24 	21 	22 	18 	21 
A,NR,RSTK_MOT,CH	: 	: 	: 	37 	29 	25 	22 	22 	42 	21 	26 	30 	21 	22 	26 	22 	26 	21 
A,NR,RSTK_MOT,CHUNNEL	: 	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 
A,NR,RSTK_MOT,CZ	104 	59 	72 	62 	61 	51 	37 	35 	32 	27 	38 	39 	25 	25 	25 	45 	35 	30 
A,NR,RSTK_MOT,DE	216 	184 	193 	201 	166 	175 	150 	161 	182 	157 	183 	198 	156 	172 	158 	131 	170 	174 
A,NR,RSTK_MOT,DK	18 	6 	11 	13 	5 	10 	11 	3 	7 	6 	6 	8 	6 	7 	6 	5 	10 	9 
A,NR,RSTK_MOT,EE	: 	14 	12 	12 	13 	13 	6 	4 	10 	2 	1 	2 	3 	1 	2 	4 	2 	4 
A,NR,RSTK_MOT,EL	35 	20 	19 	11 	17 	15 	8 	6 	8 	10 	10 	11 	13 	10 	5 	5 	11 	3 
A,NR,RSTK_MOT,ES	51 	63 	43 	22 	24 	23 	29 	25 	27 	24 	22 	21 	12 	24 	19 	25 	31 	20 
A,NR,RSTK_MOT,EU27_2020	: 	: 	: 	: 	1354 	1395 	1158 	1121 	1186 	989 	1042 	1034 	939 	794 	685 	677 	843 	843 
A,NR,RSTK_MOT,FI	23 	9 	14 	10 	10 	7 	5 	4 	8 	2 	4 	6 	3 	2 	3 	3 	7 	1 
A,NR,RSTK_MOT,FR	74 	77 	57 	64 	64 	76 	51 	64 	63 	53 	79 	87 	69 	52 	47 	49 	66 	61 
A,NR,RSTK_MOT,HR	: 	: 	: 	: 	28 	17 	20 	14 	20 	16 	15 	18 	10 	14 	11 	6 	10 	8 
A,NR,RSTK_MOT,HU	244 	92 	79 	136 	96 	104 	107 	132 	135 	102 	115 	99 	109 	75 	30 	42 	62 	48 
A,NR,RSTK_MOT,IE	0 	2 	3 	2 	1 	2 	0 	2 	2 	0 	0 	3 	0 	2 	0 	1 	1 	5 
A,NR,RSTK_MOT,IT	88 	85 	83 	82 	77 	77 	79 	71 	74 	67 	72 	75 	83 	51 	56 	61 	76 	88 
A,NR,RSTK_MOT,LT	37 	36 	42 	33 	37 	27 	22 	20 	11 	10 	13 	25 	12 	9 	8 	11 	5 	11 
A,NR,RSTK_MOT,LU	: 	: 	: 	2 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	1 	3 	1 	2 
A,NR,RSTK_MOT,LV	52 	37 	45 	19 	27 	26 	18 	22 	18 	20 	15 	15 	11 	12 	8 	10 	11 	7 
A,NR,RSTK_MOT,ME	: 	: 	: 	: 	: 	: 	: 	8 	4 	1 	10 	: 	: 	: 	: 	: 	: 	: 
A,NR,RSTK_MOT,MK	: 	: 	: 	10 	11 	9 	20 	23 	59 	78 	12 	4 	14 	: 	: 	: 	: 	: 
A,NR,RSTK_MOT,NL	9 	3 	1 	4 	5 	3 	5 	9 	1 	7 	11 	7 	5 	5 	3 	3 	3 	5 
A,NR,RSTK_MOT,NO	2 	2 	2 	4 	3 	7 	0 	4 	2 	2 	3 	1 	3 	2 	0 	1 	6 	0 
A,NR,RSTK_MOT,PL	423 	418 	397 	397 	335 	366 	275 	233 	227 	218 	168 	172 	195 	123 	117 	124 	152 	149 
A,NR,RSTK_MOT,PT	55 	56 	49 	27 	22 	17 	23 	31 	31 	13 	21 	19 	20 	30 	26 	15 	20 	16 
A,NR,RSTK_MOT,RO	295 	245 	314 	235 	190 	166 	151 	135 	133 	111 	140 	101 	97 	74 	79 	61 	88 	91 
A,NR,RSTK_MOT,SE	17 	20 	13 	20 	38 	28 	14 	16 	17 	16 	15 	11 	6 	15 	5 	6 	10 	11 
A,NR,RSTK_MOT,SI	23 	19 	14 	2 	4 	3 	1 	0 	0 	2 	0 	1 	5 	0 	0 	0 	1 	4 
A,NR,RSTK_MOT,SK	53 	63 	78 	74 	70 	61 	65 	73 	92 	60 	42 	48 	36 	42 	34 	26 	32 	43 
